x ylo yhi
0 0.010455346 0.010979245
1 0.010624528 0.01131195
2 0.010404403 0.011122013
3 0.010584906 0.011445912
4 0.010792453 0.011522642
5 0.010964151 0.011712579
6 0.011149686 0.01168805
7 0.010842138 0.011796855
8 0.010897484 0.011866038
9 0.011394969 0.012131447
10 0.011465409 0.011801258
11 0.011363522 0.011807547
12 0.011421384 0.011886164
13 0.011380503 0.011968553
14 0.011579874 0.012069182
15 0.011415094 0.011865409
16 0.011287421 0.011651572
17 0.011093082 0.011722013
18 0.011368553 0.01195283
19 0.011608805 0.011835849
20 0.011333962 0.011796226
21 0.011377358 0.012039623
22 0.011562893 0.011908805
23 0.0112 0.011451572
24 0.011373585 0.01177044
25 0.011305031 0.011578616
26 0.011245912 0.011623899
27 0.011413208 0.011757862
28 0.011137107 0.011487421
29 0.011012579 0.011324528
30 0.01137673 0.011903774
31 0.011250943 0.011755975
32 0.011298742 0.011612579
33 0.011015094 0.011469811
34 0.011054717 0.011338994
35 0.011543396 0.011774843
36 0.011330189 0.011783019
37 0.011210692 0.011543396
38 0.011456604 0.011877987
39 0.010860377 0.011261635
40 0.011013836 0.011398742
41 0.010684906 0.010957862
42 0.011442767 0.011789937
43 0.010849057 0.011238365
44 0.011692453 0.012069811
45 0.011068553 0.011532075
46 0.010773585 0.011074843
47 0.011205031 0.011600629
48 0.011077987 0.01148805
49 0.011001887 0.011154088
50 0.011215094 0.011367925
51 0.010962893 0.011227044
52 0.011198113 0.011316352
53 0.01064717 0.010791195
54 0.010594969 0.010928302
55 0.011667296 0.011940881
56 0.011413836 0.01166478
57 0.011386164 0.011676101
58 0.010907547 0.01111195
59 0.010687421 0.011040881
60 0.011030189 0.011228302
61 0.011473585 0.011827044
62 0.011364151 0.011628931
63 0.011223899 0.011650314
64 0.010710692 0.011052201
65 0.0112 0.011571069
66 0.010781132 0.011135849
67 0.011262893 0.011610692
68 0.010697484 0.011013836
69 0.011647799 0.011961006
70 0.011072327 0.011322642
71 0.011279245 0.011662893
72 0.01109434 0.011403145
